id_bien;com_code;Code postal;Nombre pieces principales;Surface Carrez du 1er lot;Type local
22120;69384;69004;2;70.21;Appartement
22121;69384;69004;2;19.61;Appartement
22122;69384;69004;2;51.87;Appartement
22123;69385;69005;3;79.03;Appartement
22124;69386;69006;2;55;Appartement
22125;69387;69007;2;35.91;Appartement
22126;69388;69008;3;42.08;Appartement
22127;69388;69008;1;21.44;Appartement
22128;69388;69008;1;17.64;Appartement
22129;69388;69008;2;34.29;Appartement
22130;69389;69009;2;55.25;Appartement
22131;69389;69009;3;66.37;Appartement
22132;69389;69009;1;36.38;Appartement
22133;69389;69009;6;110.7;Appartement
22134;71543;71700;4;81.19;Appartement
22135;72181;72000;1;25.65;Appartement
22136;73029;73000;4;98.28;Appartement
22137;73307;73450;2;27.89;Appartement
22138;74010;74000;3;65.55;Appartement
22139;74081;74300;3;55.01;Appartement
22140;74099;74120;1;16.05;Appartement
22141;74278;74300;2;36.34;Appartement
22142;75101;75001;2;28.6;Appartement
22143;75101;75001;4;153.02;Appartement
22144;75103;75003;2;65.55;Appartement
22145;75103;75003;2;27.28;Appartement
22146;75103;75003;3;94.27;Appartement
22147;75104;75004;2;22.03;Appartement
22148;75105;75005;2;43;Appartement
22149;75106;75006;1;21.65;Appartement
22150;75106;75006;5;114.18;Appartement
22151;75107;75007;1;13.28;Appartement
22152;75108;75008;4;115.23;Appartement
22153;75109;75009;4;99.48;Appartement
22154;75109;75009;2;39.47;Appartement
22155;75110;75010;2;43.69;Appartement
22156;75110;75010;2;9.07;Appartement
22157;75110;75010;3;58.38;Appartement
22158;75110;75010;3;47.17;Appartement
22159;75110;75010;2;33.83;Appartement
22160;75111;75011;2;81.74;Appartement
22161;75111;75011;4;92.72;Appartement
22162;75111;75011;1;30.06;Appartement
22163;75111;75011;3;55.4;Appartement
22164;75111;75011;2;33.55;Appartement
22165;75111;75011;3;45.42;Appartement
22166;75111;75011;2;23.8;Appartement
22167;75111;75011;2;30.97;Appartement
22168;75111;75011;2;45.1;Appartement
22169;75111;75011;1;15.55;Appartement
22170;75111;75011;1;15.01;Appartement
22171;75112;75012;3;53.46;Appartement
22172;75112;75012;3;62;Appartement
22173;75113;75013;1;25.7;Appartement
22174;75114;75014;2;35.7;Appartement
22175;75114;75014;2;38.08;Appartement
22176;75114;75014;2;31.95;Appartement
22177;75114;75014;2;58.78;Appartement
22178;75114;75014;1;7.71;Appartement
22179;75115;75015;3;51.1;Appartement
22180;75115;75015;4;114.3;Appartement
22181;75115;75015;2;43.83;Appartement
22182;75116;75016;3;44.81;Appartement
22183;75116;75016;2;55.64;Appartement
22184;75116;75016;4;113;Appartement
22185;75116;75016;4;68.65;Appartement
22186;75116;75016;1;23.02;Appartement
22187;75116;75016;2;29.99;Appartement
22188;75117;75017;1;58.81;Appartement
22189;75117;75017;2;43.71;Appartement
22190;75117;75017;3;99.36;Appartement
22191;75117;75017;1;13.25;Appartement
22192;75118;75018;3;50.94;Appartement
22193;75118;75018;3;71.65;Appartement
22194;75118;75018;2;29.55;Appartement
22195;75118;75018;1;54.28;Appartement
22196;75118;75018;2;35.63;Appartement
22197;75118;75018;1;25.73;Appartement
22198;75118;75018;2;56.04;Appartement
22199;75119;75019;1;20.07;Appartement
22200;75119;75019;2;53.14;Appartement
22201;75119;75019;2;33.82;Appartement
22202;75120;75020;2;47.91;Appartement
22203;75120;75020;1;18.5;Appartement
22204;75120;75020;2;42.52;Appartement
22205;75120;75020;4;78.04;Appartement
22206;75120;75020;1;28.43;Appartement
22207;75120;75020;1;42.52;Appartement
22208;75120;75020;3;50.74;Appartement
22209;75120;75020;3;29.44;Appartement
22210;75120;75020;1;26.4;Appartement
22211;76341;76700;3;58.8;Appartement
22212;76341;76700;5;192.49;Appartement
22213;76351;76600;2;36.66;Appartement
22214;76351;76610;2;84.6;Appartement
22215;76351;76620;5;175.38;Maison
22216;76498;76140;3;64.18;Appartement
22217;76540;76000;2;33.81;Appartement
22218;76540;76000;2;49.03;Appartement
22219;76540;76000;1;29.83;Appartement
22220;76575;76800;4;71.91;Appartement
22221;77055;77177;4;80.32;Appartement
22222;77108;77500;2;41.5;Appartement
22223;77118;77410;1;38.16;Appartement
22224;77139;77181;3;61;Appartement
22225;77153;77230;2;43.89;Appartement
22226;77186;77300;3;90.7;Appartement
22227;77251;77127;3;69.86;Appartement
22228;77251;77127;3;51.77;Appartement
22229;77284;77100;3;55.43;Appartement
22230;77284;77100;5;92.84;Appartement
22231;77288;77000;1;17.1;Appartement
22232;77288;77000;3;39.62;Appartement
22233;77326;77176;6;115.79;Maison
22234;77326;77176;3;91;Maison
22235;77337;77186;5;96.65;Appartement
22236;77350;77330;3;57.48;Appartement
22237;77373;77340;6;115.99;Maison
22238;77378;77310;2;62.34;Appartement
22239;77511;77230;3;46.2;Appartement
22240;78126;78170;4;66.7;Appartement
22241;78126;78170;4;87.11;Appartement
22242;78208;78990;1;79.45;Appartement
22243;78208;78990;3;64.77;Appartement
22244;78224;78620;6;146.35;Maison
22245;78233;78810;4;125.49;Maison
22246;78311;78800;3;64.13;Appartement
22247;78350;78430;2;34.26;Appartement
22248;78358;78600;3;60.26;Appartement
22249;78383;78310;2;48;Appartement
22250;78383;78310;2;46;Appartement
22251;78401;78250;2;39.56;Appartement
22252;78401;78250;2;39.7;Appartement
22253;78455;78590;8;111.52;Maison
22254;78490;78370;3;71.36;Appartement
22255;78490;78370;3;65.36;Appartement
22256;78490;78370;3;71.8;Maison
22257;78517;78120;3;79.05;Appartement
22258;78551;78100;2;33.01;Appartement
22259;78586;78500;2;53.72;Appartement
